PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,14,19,33,0.42,0.58
CE_AM02,Ceres,Butain,21,11,32,0.66,0.34
CE_AM03,Ceres,Turaija,18,15,33,0.55,0.45
CE_AM04,Ceres,Dabaran,18,17,35,0.51,0.49
CE_AM05,Ceres,Haq'a,70,63,133,0.53,0.47
CE_AM06,Ceres,Han'a,84,65,149,0.56,0.44
CE_AM07,Ceres,Dira,12,21,33,0.36,0.64
CE_AM08,Ceres,Natra,9,21,30,0.3,0.7
CE_AM09,Ceres,Tarf(a),14,15,29,0.48,0.52
CE_AM10,Ceres,Gabha,48,49,97,0.49,0.51
CE_AM11,Ceres,Zubra,95,72,167,0.57,0.43
CE_AM12,Ceres,Sarfa,29,34,63,0.46,0.54
CE_AM13,Ceres,Auwa,25,38,63,0.4,0.6
CE_AM14,Ceres,Simak,30,37,67,0.45,0.55
CE_AM15,Ceres,Gafr,38,28,66,0.58,0.42
CE_AM16,Ceres,Zubana,15,14,29,0.52,0.48
CE_AM17,Ceres,Iklik,10,19,29,0.34,0.66
CE_AM18,Ceres,Qualb,15,17,32,0.47,0.53
CE_AM19,Ceres,Saula,49,60,109,0.45,0.55
CE_AM20,Ceres,Na'a'im,100,72,172,0.58,0.42
CE_AM21,Ceres,Balda,15,22,37,0.41,0.59
CE_AM22,Ceres,Dabih,12,21,33,0.36,0.64
CE_AM23,Ceres,Bula,18,14,32,0.56,0.44
CE_AM24,Ceres,Su'ud,24,9,33,0.73,0.27
CE_AM25,Ceres,Ahbija,15,20,35,0.43,0.57
CE_AM26,Ceres,Muqaddam,82,51,133,0.62,0.38
CE_AM27,Ceres,Mu'ahhar,99,62,161,0.61,0.39
CE_AM28,Ceres,Risa,23,13,36,0.64,0.36
CH_AM01,Chiron,Saratan,741,620,1361,0.54,0.46
CH_AM02,Chiron,Butain,110,127,237,0.46,0.54
CH_AM28,Chiron,Risa,151,152,303,0.5,0.5
JN_AM01,Juno,Saratan,16,23,39,0.41,0.59
JN_AM02,Juno,Butain,13,14,27,0.48,0.52
JN_AM03,Juno,Turaija,13,16,29,0.45,0.55
JN_AM04,Juno,Dabaran,26,39,65,0.4,0.6
JN_AM05,Juno,Haq'a,67,85,152,0.44,0.56
JN_AM06,Juno,Han'a,15,15,30,0.5,0.5
JN_AM07,Juno,Dira,18,9,27,0.67,0.33
