PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,239,227,466,0.51,0.49
CE_AM02,Ceres,Butain,257,223,480,0.54,0.46
CE_AM03,Ceres,Turaija,228,204,432,0.53,0.47
CE_AM04,Ceres,Dabaran,214,217,431,0.5,0.5
CE_AM05,Ceres,Haq'a,216,210,426,0.51,0.49
CE_AM06,Ceres,Han'a,226,197,423,0.53,0.47
CE_AM07,Ceres,Dira,196,198,394,0.5,0.5
CE_AM08,Ceres,Natra,174,187,361,0.48,0.52
CE_AM09,Ceres,Tarf(a),232,203,435,0.53,0.47
CE_AM10,Ceres,Gabha,190,141,331,0.57,0.43
CE_AM11,Ceres,Zubra,209,194,403,0.52,0.48
CE_AM12,Ceres,Sarfa,153,166,319,0.48,0.52
CE_AM13,Ceres,Auwa,218,198,416,0.52,0.48
CE_AM14,Ceres,Simak,175,157,332,0.53,0.47
CE_AM15,Ceres,Gafr,233,174,407,0.57,0.43
CE_AM16,Ceres,Zubana,181,192,373,0.49,0.51
CE_AM17,Ceres,Iklik,201,181,382,0.53,0.47
CE_AM18,Ceres,Qualb,197,224,421,0.47,0.53
CE_AM19,Ceres,Saula,245,217,462,0.53,0.47
CE_AM20,Ceres,Na'a'im,290,273,563,0.52,0.48
CE_AM21,Ceres,Balda,224,234,458,0.49,0.51
CE_AM22,Ceres,Dabih,223,256,479,0.47,0.53
CE_AM23,Ceres,Bula,242,237,479,0.51,0.49
CE_AM24,Ceres,Su'ud,265,223,488,0.54,0.46
CE_AM25,Ceres,Ahbija,237,249,486,0.49,0.51
CE_AM26,Ceres,Muqaddam,279,301,580,0.48,0.52
CE_AM27,Ceres,Mu'ahhar,300,273,573,0.52,0.48
CE_AM28,Ceres,Risa,268,218,486,0.55,0.45
CH_AM01,Chiron,Saratan,325,295,620,0.52,0.48
CH_AM02,Chiron,Butain,417,423,840,0.5,0.5
CH_AM03,Chiron,Turaija,407,412,819,0.5,0.5
CH_AM04,Chiron,Dabaran,381,377,758,0.5,0.5
CH_AM05,Chiron,Haq'a,332,343,675,0.49,0.51
CH_AM06,Chiron,Han'a,280,252,532,0.53,0.47
CH_AM07,Chiron,Dira,206,223,429,0.48,0.52
CH_AM08,Chiron,Natra,193,177,370,0.52,0.48
CH_AM09,Chiron,Tarf(a),145,172,317,0.46,0.54
CH_AM10,Chiron,Gabha,137,143,280,0.49,0.51
CH_AM11,Chiron,Zubra,111,120,231,0.48,0.52
CH_AM12,Chiron,Sarfa,115,83,198,0.58,0.42
CH_AM13,Chiron,Auwa,97,90,187,0.52,0.48
CH_AM14,Chiron,Simak,144,98,242,0.6,0.4
CH_AM15,Chiron,Gafr,91,94,185,0.49,0.51
CH_AM16,Chiron,Zubana,68,59,127,0.54,0.46
CH_AM17,Chiron,Iklik,132,104,236,0.56,0.44
CH_AM18,Chiron,Qualb,126,121,247,0.51,0.49
CH_AM19,Chiron,Saula,132,121,253,0.52,0.48
CH_AM20,Chiron,Na'a'im,129,117,246,0.52,0.48
CH_AM21,Chiron,Balda,133,149,282,0.47,0.53
CH_AM22,Chiron,Dabih,161,156,317,0.51,0.49
CH_AM23,Chiron,Bula,227,188,415,0.55,0.45
CH_AM24,Chiron,Su'ud,249,234,483,0.52,0.48
CH_AM25,Chiron,Ahbija,286,334,620,0.46,0.54
CH_AM26,Chiron,Muqaddam,350,305,655,0.53,0.47
CH_AM27,Chiron,Mu'ahhar,433,384,817,0.53,0.47
CH_AM28,Chiron,Risa,505,400,905,0.56,0.44
JN_AM01,Juno,Saratan,177,144,321,0.55,0.45
JN_AM02,Juno,Butain,127,139,266,0.48,0.52
JN_AM03,Juno,Turaija,152,125,277,0.55,0.45
JN_AM04,Juno,Dabaran,105,99,204,0.51,0.49
JN_AM05,Juno,Haq'a,139,131,270,0.51,0.49
