PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUNE_a135,1,2,-0.043,0.061,-0.043,-0.043,0.064,-0.087,0,0.087,0,-2.75,0.043
JUUR_a180,1,2,-0.043,0.061,-0.043,-0.043,0.064,-0.087,0,0.087,0,-2.75,0.043
MAPL_a120,1,15,0.012,0.042,0.005,0.013,0.028,-0.087,0.093,0.18,-0.326,0.213,0.011
MOMA_a180,1,43,0.005,0.05,0,0.003,0.03,-0.114,0.183,0.297,0.716,2.948,0.008
SUNE_a150,1,29,-0.002,0.036,0.004,-0.001,0.024,-0.087,0.072,0.159,-0.556,0.215,0.007
SUSA_a72,1,29,0.013,0.045,0.017,0.016,0.027,-0.105,0.093,0.198,-1.008,1.016,0.008
URNE_a45,1,625,0.006,0.069,0,0.001,0.034,-0.208,0.934,1.143,5.514,61.671,0.003
VEMA_a0,1,12,-0.008,0.046,-0.003,-0.01,0.028,-0.087,0.091,0.178,0.163,-0.092,0.013
VEPL_a120,1,25,0.001,0.043,-0.005,0,0.032,-0.088,0.119,0.208,0.366,1.081,0.009
MOUR_a36,1,91,0.005,0.06,-0.004,-0.002,0.036,-0.113,0.323,0.436,2.569,10.779,0.006
MOSA_a90,1,91,0.007,0.109,0,0.001,0.044,-0.207,0.934,1.142,6.606,54.596,0.011
MOJU_a144,1,90,0.003,0.055,-0.002,0,0.034,-0.155,0.246,0.401,1.202,4.876,0.006
MOUR_a30,1,91,0.002,0.106,-0.006,-0.007,0.033,-0.114,0.934,1.049,7.477,63.373,0.011
MOJU_a150,1,87,0.004,0.053,-0.004,0,0.036,-0.114,0.246,0.361,1.593,5.195,0.006
MOPL_a72,1,90,0.001,0.119,-0.008,-0.01,0.036,-0.208,0.934,1.143,5.717,41.114,0.013
MESA_a72,1,35,0.004,0.039,0,0,0.023,-0.077,0.119,0.196,0.954,1.596,0.007
MOSA_a103,1,88,0.008,0.064,0.001,0.003,0.029,-0.155,0.247,0.402,1.288,3.696,0.007
MOME_a180,1,41,-0.003,0.052,0,-0.005,0.039,-0.117,0.142,0.258,0.354,0.613,0.008
MAUR_a144,1,27,0.011,0.043,0.004,0.013,0.025,-0.108,0.091,0.199,-0.52,0.823,0.008
MENE_a150,1,31,-0.013,0.04,-0.006,-0.011,0.024,-0.129,0.067,0.196,-0.741,0.64,0.007
MONE_a30,1,92,-0.001,0.055,-0.006,-0.002,0.032,-0.161,0.246,0.407,0.748,4.373,0.006
MOSU_a180,1,41,-0.01,0.035,-0.003,-0.008,0.03,-0.103,0.059,0.162,-0.512,0.264,0.005
VEUR_a144,1,30,-0.001,0.047,-0.003,-0.006,0.026,-0.091,0.124,0.215,0.832,0.747,0.009
MOPL_a90,1,91,-0.002,0.062,0.005,-0.001,0.034,-0.207,0.247,0.455,0.217,4.075,0.006
MONE_a36,1,92,0.002,0.056,0.003,0.002,0.035,-0.161,0.246,0.407,0.7,4.778,0.006
MOMA_a150,1,86,0.016,0.109,0.004,0.004,0.035,-0.077,0.934,1.011,7.011,56.489,0.012
MOVE_a150,1,84,0.017,0.054,0.007,0.01,0.031,-0.077,0.271,0.348,2.069,6.602,0.006
MESU_a0,1,78,0.002,0.038,0.002,0,0.03,-0.09,0.105,0.196,0.458,0.713,0.004
MOSA_a120,1,88,-0.002,0.048,-0.003,-0.003,0.035,-0.202,0.128,0.33,-0.264,2.812,0.005
MOMA_a144,1,85,0.009,0.051,0.005,0.004,0.032,-0.08,0.323,0.403,2.885,15.09,0.006
MOVE_a144,1,82,0.01,0.055,0.001,0.003,0.029,-0.083,0.271,0.355,2.183,7.309,0.006
MONE_a45,1,90,0.006,0.045,0.005,0.005,0.036,-0.155,0.119,0.274,-0.206,1.459,0.005
MOUR_a0,1,47,0.009,0.052,0.005,0.007,0.026,-0.155,0.19,0.345,0.388,3.232,0.008
MOJU_a180,1,44,0.01,0.053,0.004,0.006,0.038,-0.088,0.183,0.271,0.908,1.422,0.008
MOPL_a103,1,90,0.01,0.051,0.002,0.006,0.035,-0.109,0.247,0.356,1.311,4.32,0.005
VESA_a90,1,24,-0.007,0.046,-0.002,-0.006,0.029,-0.129,0.091,0.22,-0.427,0.621,0.009
MOMA_a135,1,87,-0.003,0.042,-0.005,-0.005,0.033,-0.1,0.169,0.269,1.018,3.169,0.004
MOVE_a135,1,85,0.001,0.047,-0.004,-0.004,0.034,-0.088,0.246,0.334,2.321,8.863,0.005
MOSA_a135,1,88,0.01,0.056,0,0.003,0.034,-0.089,0.228,0.317,1.598,3.847,0.006
VEJU_a36,1,58,0.012,0.107,0,-0.003,0.038,-0.155,0.474,0.629,2.75,9.268,0.014
MONE_a60,1,92,0.014,0.04,0.008,0.01,0.034,-0.058,0.183,0.241,1.374,3.162,0.004
MOME_a150,1,85,0.003,0.046,-0.002,0.003,0.037,-0.121,0.183,0.304,0.339,1.99,0.005
MOSU_a150,1,85,0.003,0.059,0.001,0.003,0.035,-0.202,0.228,0.43,-0.045,3.574,0.006
SUPL_a90,1,32,0.002,0.045,-0.001,-0.002,0.022,-0.091,0.178,0.269,1.774,6.004,0.008
MASA_a90,1,66,0.01,0.055,0,0.006,0.039,-0.117,0.219,0.336,0.957,2.433,0.007
MOPL_a120,1,87,0.008,0.049,0.006,0.005,0.042,-0.1,0.183,0.283,0.757,1.056,0.005
MOSA_a144,1,88,0.007,0.066,-0.005,-0.002,0.041,-0.103,0.271,0.374,1.996,5.059,0.007
MOMA_a120,1,87,-0.002,0.044,-0.001,0,0.041,-0.114,0.109,0.223,-0.286,0.472,0.005
MOME_a144,1,84,0.006,0.059,-0.001,0.006,0.043,-0.202,0.241,0.443,0.121,3.862,0.006
MOSU_a144,1,83,0.008,0.065,0.001,0.005,0.036,-0.207,0.271,0.479,0.748,4.728,0.007
MEPL_a90,1,17,-0.002,0.039,-0.007,-0.004,0.028,-0.064,0.091,0.155,0.826,0.268,0.009
MOSA_a150,1,89,0.007,0.062,-0.002,0,0.034,-0.103,0.271,0.374,1.93,5.625,0.007
MOVE_a120,1,84,0.006,0.112,-0.002,-0.003,0.029,-0.139,0.934,1.074,6.722,53.416,0.012
MONE_a72,1,93,0.002,0.037,0.001,-0.001,0.028,-0.081,0.183,0.264,1.376,5.042,0.004
MENE_a144,1,25,-0.006,0.023,0.003,-0.006,0.027,-0.04,0.026,0.066,-0.15,-1.597,0.005
MOSU_a135,1,84,0.007,0.052,0.005,0.006,0.031,-0.207,0.183,0.39,-0.086,3.671,0.006
MOME_a135,1,86,0.012,0.055,0.005,0.009,0.043,-0.155,0.241,0.396,0.711,2.979,0.006
MOPL_a135,1,85,-0.006,0.052,-0.004,-0.009,0.032,-0.202,0.271,0.473,1.294,10.06,0.006
SUNE_a144,1,32,-0.008,0.036,-0.005,-0.008,0.027,-0.091,0.112,0.203,0.562,2.346,0.006
MOMA_a103,1,85,0.001,0.053,-0.001,-0.002,0.029,-0.149,0.241,0.39,1.089,4.914,0.006
MOPL_a144,1,88,-0.003,0.044,-0.004,-0.006,0.036,-0.089,0.142,0.23,0.697,1.09,0.005
MOVE_a103,1,81,0.003,0.05,-0.003,-0.002,0.035,-0.091,0.169,0.26,0.897,1.16,0.006
MONE_a90,1,88,0.003,0.066,-0.005,-0.004,0.028,-0.096,0.474,0.569,4.237,27.191,0.007
MOUR_a45,1,93,0.008,0.059,-0.002,0,0.03,-0.117,0.323,0.44,2.094,7.894,0.006
