PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,104,81,185,0.56,0.44
CE_Z01_2ARI,Ceres,AriesD2,89,88,177,0.5,0.5
CE_Z01_3ARI,Ceres,AriesD3,93,79,172,0.54,0.46
CE_Z02_1TAU,Ceres,TaurusD1,98,73,171,0.57,0.43
CE_Z02_2TAU,Ceres,TaurusD2,89,82,171,0.52,0.48
CE_Z02_3TAU,Ceres,TaurusD3,85,79,164,0.52,0.48
CE_Z03_1GEM,Ceres,GeminiD1,91,76,167,0.54,0.46
CE_Z03_2GEM,Ceres,GeminiD2,77,73,150,0.51,0.49
CE_Z03_3GEM,Ceres,GeminiD3,78,87,165,0.47,0.53
CE_Z04_1CAN,Ceres,CancerD1,72,63,135,0.53,0.47
CE_Z04_2CAN,Ceres,CancerD2,79,84,163,0.48,0.52
CE_Z04_3CAN,Ceres,CancerD3,71,76,147,0.48,0.52
CE_Z05_1LEO,Ceres,LeoD1,85,57,142,0.6,0.4
CE_Z05_2LEO,Ceres,LeoD2,90,70,160,0.56,0.44
CE_Z05_3LEO,Ceres,LeoD1,40,45,85,0.47,0.53
CE_Z06_1VIR,Ceres,VirgoD1,87,81,168,0.52,0.48
CE_Z06_2VIR,Ceres,VirgoD2,60,69,129,0.47,0.53
CE_Z06_3VIR,Ceres,VirgoD3,77,60,137,0.56,0.44
CE_Z07_1LIB,Ceres,LibraD1,73,94,167,0.44,0.56
CE_Z07_2LIB,Ceres,LibraD2,58,56,114,0.51,0.49
CE_Z07_3LIB,Ceres,LibraD3,74,82,156,0.47,0.53
CE_Z08_1SCO,Ceres,ScorpioD1,64,58,122,0.52,0.48
CE_Z08_2SCO,Ceres,ScorpioD2,86,82,168,0.51,0.49
CE_Z08_3SCO,Ceres,ScorpioD3,69,77,146,0.47,0.53
CE_Z09_1SAG,Ceres,SagittariusD1,99,82,181,0.55,0.45
CE_Z09_2SAG,Ceres,SagittariusD2,71,72,143,0.5,0.5
CE_Z09_3SAG,Ceres,SagittariusD3,102,79,181,0.56,0.44
CE_Z10_1CAP,Ceres,CapricornD1,83,90,173,0.48,0.52
CE_Z10_2CAP,Ceres,CapricornD2,86,80,166,0.52,0.48
CE_Z10_3CAP,Ceres,CapricornD3,96,106,202,0.48,0.52
CE_Z11_1AQU,Ceres,AquariusD1,87,95,182,0.48,0.52
CE_Z11_2AQU,Ceres,AquariusD2,95,74,169,0.56,0.44
CE_Z11_3AQU,Ceres,AquariusD3,101,116,217,0.47,0.53
CE_Z12_1PIS,Ceres,PiscesD1,125,126,251,0.5,0.5
CE_Z12_2PIS,Ceres,PiscesD2,147,117,264,0.56,0.44
CE_Z12_3PIS,Ceres,PiscesD3,95,84,179,0.53,0.47
CH_Z01_1ARI,Chiron,AriesD1,341,268,609,0.56,0.44
CH_Z07_3LIB,Chiron,LibraD3,37,37,74,0.5,0.5
CH_Z08_1SCO,Chiron,ScorpioD1,26,27,53,0.49,0.51
CH_Z08_2SCO,Chiron,ScorpioD2,123,109,232,0.53,0.47
CH_Z08_3SCO,Chiron,ScorpioD3,76,57,133,0.57,0.43
CH_Z09_1SAG,Chiron,SagittariusD1,72,88,160,0.45,0.55
CH_Z09_2SAG,Chiron,SagittariusD2,108,139,247,0.44,0.56
CH_Z09_3SAG,Chiron,SagittariusD3,123,126,249,0.49,0.51
CH_Z10_1CAP,Chiron,CapricornD1,129,132,261,0.49,0.51
CH_Z10_2CAP,Chiron,CapricornD2,151,116,267,0.57,0.43
CH_Z10_3CAP,Chiron,CapricornD3,179,185,364,0.49,0.51
CH_Z11_1AQU,Chiron,AquariusD1,194,204,398,0.49,0.51
CH_Z11_2AQU,Chiron,AquariusD2,213,222,435,0.49,0.51
CH_Z11_3AQU,Chiron,AquariusD3,263,255,518,0.51,0.49
CH_Z12_1PIS,Chiron,PiscesD1,326,319,645,0.51,0.49
CH_Z12_2PIS,Chiron,PiscesD2,313,287,600,0.52,0.48
CH_Z12_3PIS,Chiron,PiscesD3,402,322,724,0.56,0.44
JN_Z01_1ARI,Juno,AriesD1,60,64,124,0.48,0.52
JN_Z01_2ARI,Juno,AriesD2,35,30,65,0.54,0.46
JN_Z01_3ARI,Juno,AriesD3,34,31,65,0.52,0.48
JN_Z02_1TAU,Juno,TaurusD1,40,27,67,0.6,0.4
JN_Z02_2TAU,Juno,TaurusD2,40,30,70,0.57,0.43
JN_Z02_3TAU,Juno,TaurusD3,79,71,150,0.53,0.47
JN_Z03_1GEM,Juno,GeminiD1,36,52,88,0.41,0.59
JN_Z03_2GEM,Juno,GeminiD2,71,67,138,0.51,0.49
JN_Z03_3GEM,Juno,GeminiD3,52,56,108,0.48,0.52
JN_Z04_1CAN,Juno,CancerD1,39,46,85,0.46,0.54
JN_Z04_2CAN,Juno,CancerD2,38,42,80,0.48,0.52
JN_Z04_3CAN,Juno,CancerD3,43,36,79,0.54,0.46
JN_Z05_1LEO,Juno,LeoD1,87,67,154,0.56,0.44
JN_Z05_2LEO,Juno,LeoD2,101,112,213,0.47,0.53
JN_Z05_3LEO,Juno,LeoD1,88,87,175,0.5,0.5
JN_Z06_1VIR,Juno,VirgoD1,62,43,105,0.59,0.41
JN_Z06_2VIR,Juno,VirgoD2,86,90,176,0.49,0.51
JN_Z06_3VIR,Juno,VirgoD3,147,132,279,0.53,0.47
JN_Z07_1LIB,Juno,LibraD1,132,111,243,0.54,0.46
JN_Z07_2LIB,Juno,LibraD2,150,129,279,0.54,0.46
JN_Z07_3LIB,Juno,LibraD3,138,115,253,0.55,0.45
JN_Z08_1SCO,Juno,ScorpioD1,151,121,272,0.56,0.44
JN_Z08_2SCO,Juno,ScorpioD2,144,126,270,0.53,0.47
JN_Z08_3SCO,Juno,ScorpioD3,155,132,287,0.54,0.46
JN_Z09_1SAG,Juno,SagittariusD1,131,147,278,0.47,0.53
JN_Z09_2SAG,Juno,SagittariusD2,104,118,222,0.47,0.53
JN_Z09_3SAG,Juno,SagittariusD3,101,93,194,0.52,0.48
JN_Z10_1CAP,Juno,CapricornD1,92,104,196,0.47,0.53
JN_Z10_2CAP,Juno,CapricornD2,127,128,255,0.5,0.5
JN_Z10_3CAP,Juno,CapricornD3,81,70,151,0.54,0.46
JN_Z11_1AQU,Juno,AquariusD1,81,73,154,0.53,0.47
JN_Z11_2AQU,Juno,AquariusD2,126,118,244,0.52,0.48
JN_Z11_3AQU,Juno,AquariusD3,73,79,152,0.48,0.52
JN_Z12_1PIS,Juno,PiscesD1,40,36,76,0.53,0.47
JN_Z12_2PIS,Juno,PiscesD2,37,39,76,0.49,0.51
JN_Z12_3PIS,Juno,PiscesD3,75,71,146,0.51,0.49
JU_Z01_1ARI,Jupiter,AriesD1,69,60,129,0.53,0.47
JU_Z01_2ARI,Jupiter,AriesD2,30,29,59,0.51,0.49
JU_Z01_3ARI,Jupiter,AriesD3,67,75,142,0.47,0.53
JU_Z02_1TAU,Jupiter,TaurusD1,153,142,295,0.52,0.48
JU_Z02_2TAU,Jupiter,TaurusD2,45,35,80,0.56,0.44
JU_Z02_3TAU,Jupiter,TaurusD3,25,35,60,0.42,0.58
JU_Z03_1GEM,Jupiter,GeminiD1,125,133,258,0.48,0.52
JU_Z03_2GEM,Jupiter,GeminiD2,97,103,200,0.48,0.52
JU_Z03_3GEM,Jupiter,GeminiD3,30,32,62,0.48,0.52
JU_Z04_1CAN,Jupiter,CancerD1,65,77,142,0.46,0.54
JU_Z04_2CAN,Jupiter,CancerD2,148,148,296,0.5,0.5
JU_Z04_3CAN,Jupiter,CancerD3,44,45,89,0.49,0.51
JU_Z05_1LEO,Jupiter,LeoD1,67,48,115,0.58,0.42
JU_Z05_2LEO,Jupiter,LeoD2,162,140,302,0.54,0.46
JU_Z05_3LEO,Jupiter,LeoD1,68,55,123,0.55,0.45
JU_Z06_1VIR,Jupiter,VirgoD1,55,46,101,0.54,0.46
JU_Z06_2VIR,Jupiter,VirgoD2,160,150,310,0.52,0.48
JU_Z06_3VIR,Jupiter,VirgoD3,69,64,133,0.52,0.48
JU_Z07_1LIB,Jupiter,LibraD1,56,50,106,0.53,0.47
JU_Z07_2LIB,Jupiter,LibraD2,163,147,310,0.53,0.47
JU_Z07_3LIB,Jupiter,LibraD3,70,62,132,0.53,0.47
JU_Z08_1SCO,Jupiter,ScorpioD1,55,46,101,0.54,0.46
JU_Z08_2SCO,Jupiter,ScorpioD2,164,144,308,0.53,0.47
JU_Z08_3SCO,Jupiter,ScorpioD3,78,58,136,0.57,0.43
JU_Z09_1SAG,Jupiter,SagittariusD1,29,39,68,0.43,0.57
JU_Z09_2SAG,Jupiter,SagittariusD2,173,149,322,0.54,0.46
JU_Z09_3SAG,Jupiter,SagittariusD3,75,68,143,0.52,0.48
JU_Z10_1CAP,Jupiter,CapricornD1,29,31,60,0.48,0.52
JU_Z10_2CAP,Jupiter,CapricornD2,105,132,237,0.44,0.56
JU_Z10_3CAP,Jupiter,CapricornD3,132,99,231,0.57,0.43
JU_Z11_1AQU,Jupiter,AquariusD1,29,27,56,0.52,0.48
JU_Z11_2AQU,Jupiter,AquariusD2,106,104,210,0.5,0.5
JU_Z11_3AQU,Jupiter,AquariusD3,101,105,206,0.49,0.51
JU_Z12_1PIS,Jupiter,PiscesD1,29,29,58,0.5,0.5
JU_Z12_2PIS,Jupiter,PiscesD2,60,48,108,0.56,0.44
JU_Z12_3PIS,Jupiter,PiscesD3,143,138,281,0.51,0.49
MA_Z01_1ARI,Mars,AriesD1,66,60,126,0.52,0.48
MA_Z01_2ARI,Mars,AriesD2,83,82,165,0.5,0.5
MA_Z01_3ARI,Mars,AriesD3,95,89,184,0.52,0.48
MA_Z02_1TAU,Mars,TaurusD1,77,77,154,0.5,0.5
MA_Z02_2TAU,Mars,TaurusD2,96,84,180,0.53,0.47
MA_Z02_3TAU,Mars,TaurusD3,70,82,152,0.46,0.54
MA_Z03_1GEM,Mars,GeminiD1,69,56,125,0.55,0.45
MA_Z03_2GEM,Mars,GeminiD2,66,58,124,0.53,0.47
MA_Z03_3GEM,Mars,GeminiD3,92,85,177,0.52,0.48
MA_Z04_1CAN,Mars,CancerD1,77,95,172,0.45,0.55
MA_Z04_2CAN,Mars,CancerD2,81,79,160,0.51,0.49
MA_Z04_3CAN,Mars,CancerD3,73,64,137,0.53,0.47
MA_Z05_1LEO,Mars,LeoD1,106,90,196,0.54,0.46
MA_Z05_2LEO,Mars,LeoD2,90,105,195,0.46,0.54
MA_Z05_3LEO,Mars,LeoD1,63,78,141,0.45,0.55
MA_Z06_1VIR,Mars,VirgoD1,95,93,188,0.51,0.49
MA_Z06_2VIR,Mars,VirgoD2,87,94,181,0.48,0.52
MA_Z06_3VIR,Mars,VirgoD3,108,83,191,0.57,0.43
MA_Z07_1LIB,Mars,LibraD1,90,75,165,0.55,0.45
MA_Z07_2LIB,Mars,LibraD2,100,99,199,0.5,0.5
MA_Z07_3LIB,Mars,LibraD3,120,123,243,0.49,0.51
MA_Z08_1SCO,Mars,ScorpioD1,95,98,193,0.49,0.51
MA_Z08_2SCO,Mars,ScorpioD2,98,70,168,0.58,0.42
MA_Z08_3SCO,Mars,ScorpioD3,96,89,185,0.52,0.48
MA_Z09_1SAG,Mars,SagittariusD1,104,93,197,0.53,0.47
MA_Z09_2SAG,Mars,SagittariusD2,87,83,170,0.51,0.49
MA_Z09_3SAG,Mars,SagittariusD3,96,97,193,0.5,0.5
MA_Z10_1CAP,Mars,CapricornD1,70,61,131,0.53,0.47
MA_Z10_2CAP,Mars,CapricornD2,71,58,129,0.55,0.45
MA_Z10_3CAP,Mars,CapricornD3,79,68,147,0.54,0.46
MA_Z11_1AQU,Mars,AquariusD1,101,91,192,0.53,0.47
MA_Z11_2AQU,Mars,AquariusD2,64,61,125,0.51,0.49
MA_Z11_3AQU,Mars,AquariusD3,68,59,127,0.54,0.46
MA_Z12_1PIS,Mars,PiscesD1,101,103,204,0.5,0.5
MA_Z12_2PIS,Mars,PiscesD2,71,60,131,0.54,0.46
MA_Z12_3PIS,Mars,PiscesD3,71,51,122,0.58,0.42
ME_Z01_1ARI,Mercury,AriesD1,93,69,162,0.57,0.43
ME_Z01_2ARI,Mercury,AriesD2,80,84,164,0.49,0.51
ME_Z01_3ARI,Mercury,AriesD3,85,74,159,0.53,0.47
ME_Z02_1TAU,Mercury,TaurusD1,67,73,140,0.48,0.52
ME_Z02_2TAU,Mercury,TaurusD2,98,52,150,0.65,0.35
ME_Z02_3TAU,Mercury,TaurusD3,69,63,132,0.52,0.48
ME_Z03_1GEM,Mercury,GeminiD1,77,76,153,0.5,0.5
ME_Z03_2GEM,Mercury,GeminiD2,65,66,131,0.5,0.5
ME_Z03_3GEM,Mercury,GeminiD3,70,72,142,0.49,0.51
ME_Z04_1CAN,Mercury,CancerD1,86,61,147,0.59,0.41
ME_Z04_2CAN,Mercury,CancerD2,95,82,177,0.54,0.46
ME_Z04_3CAN,Mercury,CancerD3,79,81,160,0.49,0.51
ME_Z05_1LEO,Mercury,LeoD1,85,87,172,0.49,0.51
ME_Z05_2LEO,Mercury,LeoD2,96,74,170,0.56,0.44
ME_Z05_3LEO,Mercury,LeoD1,87,88,175,0.5,0.5
ME_Z06_1VIR,Mercury,VirgoD1,97,76,173,0.56,0.44
ME_Z06_2VIR,Mercury,VirgoD2,98,81,179,0.55,0.45
ME_Z06_3VIR,Mercury,VirgoD3,85,74,159,0.53,0.47
ME_Z07_1LIB,Mercury,LibraD1,81,80,161,0.5,0.5
ME_Z07_2LIB,Mercury,LibraD2,85,81,166,0.51,0.49
ME_Z07_3LIB,Mercury,LibraD3,87,90,177,0.49,0.51
ME_Z08_1SCO,Mercury,ScorpioD1,93,101,194,0.48,0.52
ME_Z08_2SCO,Mercury,ScorpioD2,109,89,198,0.55,0.45
ME_Z08_3SCO,Mercury,ScorpioD3,91,93,184,0.49,0.51
ME_Z09_1SAG,Mercury,SagittariusD1,100,93,193,0.52,0.48
ME_Z09_2SAG,Mercury,SagittariusD2,99,92,191,0.52,0.48
