PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,42,34,76,0.55,0.45
CE_Z02_TAU,Ceres,Taurus,35,49,84,0.42,0.58
CE_Z03_GEM,Ceres,Gemini,30,30,60,0.5,0.5
CE_Z04_CAN,Ceres,Cancer,1,1,2,0.5,0.5
CE_Z05_LEO,Ceres,Leo,138,139,277,0.5,0.5
CE_Z06_VIR,Ceres,Virgo,33,37,70,0.47,0.53
CE_Z07_LIB,Ceres,Libra,40,26,66,0.61,0.39
CE_Z08_SCO,Ceres,Scorpio,36,39,75,0.48,0.52
CE_Z09_SAG,Ceres,Sagittarius,147,148,295,0.5,0.5
CE_Z10_CAP,Ceres,Capricorn,38,38,76,0.5,0.5
CE_Z11_AQU,Ceres,Aquarius,65,57,122,0.53,0.47
CE_Z12_PIS,Ceres,Pisces,157,104,261,0.6,0.4
CH_Z01_ARI,Chiron,Aries,577,534,1111,0.52,0.48
CH_Z12_PIS,Chiron,Pisces,185,168,353,0.52,0.48
JN_Z01_ARI,Juno,Aries,27,37,64,0.42,0.58
JN_Z02_TAU,Juno,Taurus,99,101,200,0.5,0.5
JN_Z03_GEM,Juno,Gemini,50,43,93,0.54,0.46
JN_Z04_CAN,Juno,Cancer,35,27,62,0.56,0.44
JN_Z05_LEO,Juno,Leo,31,32,63,0.49,0.51
JN_Z06_VIR,Juno,Virgo,32,41,73,0.44,0.56
JN_Z07_LIB,Juno,Libra,177,143,320,0.55,0.45
JN_Z08_SCO,Juno,Scorpio,49,37,86,0.57,0.43
JN_Z09_SAG,Juno,Sagittarius,147,138,285,0.52,0.48
JN_Z10_CAP,Juno,Capricorn,45,40,85,0.53,0.47
JN_Z11_AQU,Juno,Aquarius,35,34,69,0.51,0.49
JN_Z12_PIS,Juno,Pisces,35,29,64,0.55,0.45
JU_Z07_LIB,Jupiter,Libra,12,6,18,0.67,0.33
JU_Z08_SCO,Jupiter,Scorpio,198,196,394,0.5,0.5
JU_Z09_SAG,Jupiter,Sagittarius,188,201,389,0.48,0.52
JU_Z10_CAP,Jupiter,Capricorn,218,161,379,0.58,0.42
JU_Z11_AQU,Jupiter,Aquarius,114,94,208,0.55,0.45
JU_Z12_PIS,Jupiter,Pisces,32,44,76,0.42,0.58
MA_Z01_ARI,Mars,Aries,133,100,233,0.57,0.43
MA_Z02_TAU,Mars,Taurus,56,46,102,0.55,0.45
MA_Z03_GEM,Mars,Gemini,52,44,96,0.54,0.46
MA_Z04_CAN,Mars,Cancer,52,43,95,0.55,0.45
MA_Z05_LEO,Mars,Leo,42,54,96,0.44,0.56
MA_Z06_VIR,Mars,Virgo,60,64,124,0.48,0.52
MA_Z07_LIB,Mars,Libra,52,57,109,0.48,0.52
MA_Z08_SCO,Mars,Scorpio,45,48,93,0.48,0.52
MA_Z09_SAG,Mars,Sagittarius,52,42,94,0.55,0.45
MA_Z10_CAP,Mars,Capricorn,71,61,132,0.54,0.46
MA_Z11_AQU,Mars,Aquarius,100,97,197,0.51,0.49
MA_Z12_PIS,Mars,Pisces,47,46,93,0.51,0.49
ME_Z01_ARI,Mercury,Aries,71,46,117,0.61,0.39
ME_Z02_TAU,Mercury,Taurus,35,25,60,0.58,0.42
ME_Z03_GEM,Mercury,Gemini,48,65,113,0.42,0.58
ME_Z04_CAN,Mercury,Cancer,84,64,148,0.57,0.43
ME_Z05_LEO,Mercury,Leo,68,71,139,0.49,0.51
ME_Z06_VIR,Mercury,Virgo,36,38,74,0.49,0.51
ME_Z07_LIB,Mercury,Libra,59,60,119,0.5,0.5
ME_Z08_SCO,Mercury,Scorpio,83,85,168,0.49,0.51
ME_Z09_SAG,Mercury,Sagittarius,88,73,161,0.55,0.45
ME_Z10_CAP,Mercury,Capricorn,40,36,76,0.53,0.47
ME_Z11_AQU,Mercury,Aquarius,70,61,131,0.53,0.47
ME_Z12_PIS,Mercury,Pisces,80,78,158,0.51,0.49
MO_Z01_ARI,Moon,Aries,64,68,132,0.48,0.52
MO_Z02_TAU,Moon,Taurus,74,54,128,0.58,0.42
MO_Z03_GEM,Moon,Gemini,60,63,123,0.49,0.51
MO_Z04_CAN,Moon,Cancer,63,52,115,0.55,0.45
MO_Z05_LEO,Moon,Leo,47,65,112,0.42,0.58
MO_Z06_VIR,Moon,Virgo,49,63,112,0.44,0.56
MO_Z07_LIB,Moon,Libra,53,60,113,0.47,0.53
MO_Z08_SCO,Moon,Scorpio,69,50,119,0.58,0.42
MO_Z09_SAG,Moon,Sagittarius,68,53,121,0.56,0.44
MO_Z10_CAP,Moon,Capricorn,78,50,128,0.61,0.39
MO_Z11_AQU,Moon,Aquarius,74,56,130,0.57,0.43
MO_Z12_PIS,Moon,Pisces,63,68,131,0.48,0.52
NE_Z12_PIS,Neptune,Pisces,762,702,1464,0.52,0.48
NN_Z03_GEM,NNode,Gemini,257,222,479,0.54,0.46
NN_Z04_CAN,NNode,Cancer,291,275,566,0.51,0.49
NN_Z05_LEO,NNode,Leo,214,205,419,0.51,0.49
PA_Z01_ARI,Pallas,Aries,39,26,65,0.6,0.4
PA_Z02_TAU,Pallas,Taurus,53,71,124,0.43,0.57
PA_Z03_GEM,Pallas,Gemini,36,16,52,0.69,0.31
PA_Z04_CAN,Pallas,Cancer,18,33,51,0.35,0.65
PA_Z05_LEO,Pallas,Leo,26,29,55,0.47,0.53
PA_Z06_VIR,Pallas,Virgo,36,26,62,0.58,0.42
PA_Z07_LIB,Pallas,Libra,149,145,294,0.51,0.49
PA_Z08_SCO,Pallas,Scorpio,33,41,74,0.45,0.55
PA_Z09_SAG,Pallas,Sagittarius,35,36,71,0.49,0.51
PA_Z10_CAP,Pallas,Capricorn,164,123,287,0.57,0.43
PA_Z11_AQU,Pallas,Aquarius,72,51,123,0.59,0.41
PA_Z12_PIS,Pallas,Pisces,101,105,206,0.49,0.51
PH_Z09_SAG,Pholus,Sagittarius,185,199,384,0.48,0.52
PH_Z10_CAP,Pholus,Capricorn,577,503,1080,0.53,0.47
PL_Z10_CAP,Pluto,Capricorn,762,702,1464,0.52,0.48
SA_Z09_SAG,Saturn,Sagittarius,48,41,89,0.54,0.46
SA_Z10_CAP,Saturn,Capricorn,505,484,989,0.51,0.49
SA_Z11_AQU,Saturn,Aquarius,209,177,386,0.54,0.46
SN_Z09_SAG,SNode,Sagittarius,257,222,479,0.54,0.46
SN_Z10_CAP,SNode,Capricorn,291,275,566,0.51,0.49
SN_Z11_AQU,SNode,Aquarius,214,205,419,0.51,0.49
SU_Z01_ARI,Sun,Aries,73,48,121,0.6,0.4
SU_Z02_TAU,Sun,Taurus,72,52,124,0.58,0.42
SU_Z03_GEM,Sun,Gemini,55,70,125,0.44,0.56
SU_Z04_CAN,Sun,Cancer,62,64,126,0.49,0.51
SU_Z05_LEO,Sun,Leo,74,51,125,0.59,0.41
