PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM08,Ceres,Natra,10,4,14,0.71,0.29
CE_AM09,Ceres,Tarf(a),19,14,33,0.58,0.42
CE_AM10,Ceres,Gabha,57,49,106,0.54,0.46
CE_AM11,Ceres,Zubra,81,79,160,0.51,0.49
CE_AM12,Ceres,Sarfa,15,18,33,0.45,0.55
CE_AM13,Ceres,Auwa,14,17,31,0.45,0.55
CE_AM14,Ceres,Simak,16,13,29,0.55,0.45
CE_AM15,Ceres,Gafr,13,15,28,0.46,0.54
CE_AM16,Ceres,Zubana,11,18,29,0.38,0.62
CE_AM17,Ceres,Iklik,11,18,29,0.38,0.62
CE_AM18,Ceres,Qualb,19,13,32,0.59,0.41
CE_AM19,Ceres,Saula,55,54,109,0.5,0.5
CE_AM20,Ceres,Na'a'im,88,84,172,0.51,0.49
CE_AM21,Ceres,Balda,22,15,37,0.59,0.41
CE_AM22,Ceres,Dabih,9,24,33,0.27,0.73
CE_AM23,Ceres,Bula,17,15,32,0.53,0.47
CE_AM24,Ceres,Su'ud,19,14,33,0.58,0.42
CE_AM25,Ceres,Ahbija,17,18,35,0.49,0.51
CE_AM26,Ceres,Muqaddam,78,51,129,0.6,0.4
CE_AM27,Ceres,Mu'ahhar,89,72,161,0.55,0.45
CE_AM28,Ceres,Risa,16,12,28,0.57,0.43
CH_AM01,Chiron,Saratan,458,425,883,0.52,0.48
CH_AM28,Chiron,Risa,218,192,410,0.53,0.47
JN_AM01,Juno,Saratan,10,17,27,0.37,0.63
JN_AM02,Juno,Butain,14,13,27,0.52,0.48
JN_AM03,Juno,Turaija,11,18,29,0.38,0.62
JN_AM04,Juno,Dabaran,37,28,65,0.57,0.43
JN_AM05,Juno,Haq'a,74,78,152,0.49,0.51
JN_AM06,Juno,Han'a,16,14,30,0.53,0.47
JN_AM07,Juno,Dira,16,11,27,0.59,0.41
JN_AM08,Juno,Natra,11,15,26,0.42,0.58
JN_AM09,Juno,Tarf(a),17,10,27,0.63,0.37
JN_AM10,Juno,Gabha,14,12,26,0.54,0.46
JN_AM11,Juno,Zubra,9,19,28,0.32,0.68
JN_AM12,Juno,Sarfa,12,16,28,0.43,0.57
JN_AM13,Juno,Auwa,13,17,30,0.43,0.57
JN_AM14,Juno,Simak,19,14,33,0.58,0.42
JN_AM15,Juno,Gafr,71,74,145,0.49,0.51
JN_AM16,Juno,Zubana,89,72,161,0.55,0.45
JN_AM17,Juno,Iklik,23,14,37,0.62,0.38
JN_AM18,Juno,Qualb,18,19,37,0.49,0.51
JN_AM19,Juno,Saula,25,15,40,0.62,0.38
JN_AM20,Juno,Na'a'im,25,18,43,0.58,0.42
JN_AM22,Juno,Dabih,51,42,93,0.55,0.45
JN_AM23,Juno,Bula,23,15,38,0.61,0.39
JN_AM24,Juno,Su'ud,20,12,32,0.62,0.38
JN_AM25,Juno,Ahbija,12,17,29,0.41,0.59
JN_AM26,Juno,Muqaddam,15,14,29,0.52,0.48
JN_AM27,Juno,Mu'ahhar,15,12,27,0.56,0.44
JN_AM28,Juno,Risa,16,11,27,0.59,0.41
JU_AM16,Jupiter,Zubana,32,23,55,0.58,0.42
JU_AM17,Jupiter,Iklik,31,29,60,0.52,0.48
JU_AM18,Jupiter,Qualb,121,122,243,0.5,0.5
JU_AM19,Jupiter,Saula,60,70,130,0.46,0.54
JU_AM20,Jupiter,Na'a'im,71,76,147,0.48,0.52
JU_AM21,Jupiter,Balda,120,103,223,0.54,0.46
JU_AM22,Jupiter,Dabih,27,30,57,0.47,0.53
JU_AM23,Jupiter,Bula,133,105,238,0.56,0.44
JU_AM24,Jupiter,Su'ud,68,53,121,0.56,0.44
JU_AM25,Jupiter,Ahbija,13,6,19,0.68,0.32
MA_AM01,Mars,Saratan,24,17,41,0.59,0.41
MA_AM02,Mars,Butain,83,57,140,0.59,0.41
MA_AM03,Mars,Turaija,47,36,83,0.57,0.43
MA_AM04,Mars,Dabaran,25,14,39,0.64,0.36
MA_AM05,Mars,Haq'a,11,8,19,0.58,0.42
MA_AM06,Mars,Han'a,10,10,20,0.5,0.5
MA_AM07,Mars,Dira,9,11,20,0.45,0.55
MA_AM08,Mars,Natra,11,9,20,0.55,0.45
MA_AM09,Mars,Tarf(a),13,7,20,0.65,0.35
MA_AM10,Mars,Gabha,10,16,26,0.38,0.62
MA_AM11,Mars,Zubra,24,16,40,0.6,0.4
MA_AM12,Mars,Sarfa,20,21,41,0.49,0.51
MA_AM13,Mars,Auwa,20,21,41,0.49,0.51
MA_AM14,Mars,Simak,17,23,40,0.42,0.58
MA_AM15,Mars,Gafr,21,20,41,0.51,0.49
MA_AM16,Mars,Zubana,23,16,39,0.59,0.41
MA_AM17,Mars,Iklik,19,21,40,0.48,0.52
MA_AM18,Mars,Qualb,18,22,40,0.45,0.55
MA_AM19,Mars,Saula,20,20,40,0.5,0.5
MA_AM20,Mars,Na'a'im,21,19,40,0.52,0.48
MA_AM21,Mars,Balda,22,19,41,0.54,0.46
MA_AM22,Mars,Dabih,23,19,42,0.55,0.45
MA_AM23,Mars,Bula,24,20,44,0.55,0.45
MA_AM24,Mars,Su'ud,75,78,153,0.49,0.51
MA_AM25,Mars,Ahbija,29,34,63,0.46,0.54
MA_AM26,Mars,Muqaddam,19,21,40,0.48,0.52
