PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,17,17,34,0.5,0.5
CE_VM02,Ceres,Bharani,14,22,36,0.39,0.61
CE_VM03,Ceres,Krittica,28,15,43,0.65,0.35
CE_VM04,Ceres,Rohini,4,4,8,0.5,0.5
CE_VM06,Ceres,Ardra,13,4,17,0.76,0.24
CE_VM07,Ceres,Punavasu,17,17,34,0.5,0.5
CE_VM08,Ceres,Pushya,67,60,127,0.53,0.47
CE_VM09,Ceres,Ashlesha,81,61,142,0.57,0.43
CE_VM10,Ceres,Magha,12,22,34,0.35,0.65
CE_VM11,Ceres,PurvaPhalguni,10,21,31,0.32,0.68
CE_VM12,Ceres,UttaraPhalguni,15,15,30,0.5,0.5
CE_VM13,Ceres,Hasta,15,14,29,0.52,0.48
CE_VM14,Ceres,Chitra,13,17,30,0.43,0.57
CE_VM15,Ceres,Swati,11,20,31,0.35,0.65
CE_VM16,Ceres,Vishakha,22,12,34,0.65,0.35
CE_VM17,Ceres,Anuradha,93,83,176,0.53,0.47
CE_VM18,Ceres,Jyeshtha,57,53,110,0.52,0.48
CE_VM19,Ceres,Mula,15,21,36,0.42,0.58
CE_VM20,Ceres,PurvaAshada,18,15,33,0.55,0.45
CE_VM21,Ceres,UttaraAshada,25,9,34,0.74,0.26
CE_VM22,Ceres,Shravana,14,21,35,0.4,0.6
CE_VM23,Ceres,Danishtha,52,38,90,0.58,0.42
CE_VM24,Ceres,Shatabhisha,124,79,203,0.61,0.39
CE_VM25,Ceres,PurvaBhadrapada,29,9,38,0.76,0.24
CE_VM26,Ceres,UttaraBhadrapada,18,16,34,0.53,0.47
CE_VM27,Ceres,Revati,21,13,34,0.62,0.38
CH_VM25,Chiron,PurvaBhadrapada,98,84,182,0.54,0.46
CH_VM26,Chiron,UttaraBhadrapada,650,537,1187,0.55,0.45
CH_VM27,Chiron,Revati,57,57,114,0.5,0.5
JN_VM01,Juno,Aswini,9,21,30,0.3,0.7
JN_VM02,Juno,Bharani,22,29,51,0.43,0.57
