PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,13,12,25,0.52,0.48
CE_Z01_2ARI,Ceres,AriesD2,19,7,26,0.73,0.27
CE_Z01_3ARI,Ceres,AriesD3,13,12,25,0.52,0.48
CE_Z02_1TAU,Ceres,TaurusD1,11,15,26,0.42,0.58
CE_Z02_2TAU,Ceres,TaurusD2,10,17,27,0.37,0.63
CE_Z02_3TAU,Ceres,TaurusD3,40,41,81,0.49,0.51
CE_Z03_1GEM,Ceres,GeminiD1,74,58,132,0.56,0.44
CE_Z03_2GEM,Ceres,GeminiD2,46,34,80,0.58,0.42
CE_Z03_3GEM,Ceres,GeminiD3,8,18,26,0.31,0.69
CE_Z04_1CAN,Ceres,CancerD1,12,12,24,0.5,0.5
CE_Z04_2CAN,Ceres,CancerD2,9,14,23,0.39,0.61
CE_Z04_3CAN,Ceres,CancerD3,15,7,22,0.68,0.32
CE_Z05_1LEO,Ceres,LeoD1,60,43,103,0.58,0.42
CE_Z05_2LEO,Ceres,LeoD2,74,70,144,0.51,0.49
CE_Z05_3LEO,Ceres,LeoD1,24,26,50,0.48,0.52
CE_Z06_1VIR,Ceres,VirgoD1,18,30,48,0.38,0.62
CE_Z06_2VIR,Ceres,VirgoD2,22,26,48,0.46,0.54
CE_Z06_3VIR,Ceres,VirgoD3,25,29,54,0.46,0.54
CE_Z07_1LIB,Ceres,LibraD1,33,27,60,0.55,0.45
CE_Z07_2LIB,Ceres,LibraD2,12,10,22,0.55,0.45
CE_Z07_3LIB,Ceres,LibraD3,10,12,22,0.45,0.55
CE_Z08_1SCO,Ceres,ScorpioD1,7,16,23,0.3,0.7
CE_Z08_2SCO,Ceres,ScorpioD2,15,10,25,0.6,0.4
CE_Z08_3SCO,Ceres,ScorpioD3,15,12,27,0.56,0.44
CE_Z09_1SAG,Ceres,SagittariusD1,83,77,160,0.52,0.48
CE_Z09_2SAG,Ceres,SagittariusD2,55,52,107,0.51,0.49
CE_Z09_3SAG,Ceres,SagittariusD3,17,11,28,0.61,0.39
CE_Z10_1CAP,Ceres,CapricornD1,8,18,26,0.31,0.69
CE_Z10_2CAP,Ceres,CapricornD2,15,10,25,0.6,0.4
CE_Z10_3CAP,Ceres,CapricornD3,18,7,25,0.72,0.28
CE_Z11_1AQU,Ceres,AquariusD1,13,13,26,0.5,0.5
CE_Z11_2AQU,Ceres,AquariusD2,14,13,27,0.52,0.48
CE_Z11_3AQU,Ceres,AquariusD3,41,32,73,0.56,0.44
CE_Z12_1PIS,Ceres,PiscesD1,83,56,139,0.6,0.4
CE_Z12_2PIS,Ceres,PiscesD2,61,34,95,0.64,0.36
CE_Z12_3PIS,Ceres,PiscesD3,22,5,27,0.81,0.19
CH_Z01_1ARI,Chiron,AriesD1,581,493,1074,0.54,0.46
CH_Z01_2ARI,Chiron,AriesD2,265,259,524,0.51,0.49
CH_Z12_3PIS,Chiron,PiscesD3,169,134,303,0.56,0.44
JN_Z01_1ARI,Juno,AriesD1,14,19,33,0.42,0.58
JN_Z01_2ARI,Juno,AriesD2,12,9,21,0.57,0.43
JN_Z01_3ARI,Juno,AriesD3,9,13,22,0.41,0.59
JN_Z02_1TAU,Juno,TaurusD1,5,18,23,0.22,0.78
JN_Z02_2TAU,Juno,TaurusD2,10,16,26,0.38,0.62
JN_Z02_3TAU,Juno,TaurusD3,78,73,151,0.52,0.48
JN_Z03_1GEM,Juno,GeminiD1,30,20,50,0.6,0.4
JN_Z03_2GEM,Juno,GeminiD2,13,9,22,0.59,0.41
JN_Z03_3GEM,Juno,GeminiD3,15,6,21,0.71,0.29
JN_Z04_1CAN,Juno,CancerD1,6,15,21,0.29,0.71
JN_Z04_2CAN,Juno,CancerD2,13,7,20,0.65,0.35
JN_Z04_3CAN,Juno,CancerD3,13,8,21,0.62,0.38
JN_Z05_1LEO,Juno,LeoD1,6,14,20,0.3,0.7
JN_Z05_2LEO,Juno,LeoD2,10,12,22,0.45,0.55
JN_Z05_3LEO,Juno,LeoD1,12,9,21,0.57,0.43
JN_Z06_1VIR,Juno,VirgoD1,8,15,23,0.35,0.65
JN_Z06_2VIR,Juno,VirgoD2,7,17,24,0.29,0.71
JN_Z06_3VIR,Juno,VirgoD3,17,9,26,0.65,0.35
JN_Z07_1LIB,Juno,LibraD1,58,51,109,0.53,0.47
JN_Z07_2LIB,Juno,LibraD2,84,49,133,0.63,0.37
JN_Z07_3LIB,Juno,LibraD3,44,35,79,0.56,0.44
JN_Z08_1SCO,Juno,ScorpioD1,16,14,30,0.53,0.47
JN_Z08_2SCO,Juno,ScorpioD2,12,17,29,0.41,0.59
JN_Z08_3SCO,Juno,ScorpioD3,20,10,30,0.67,0.33
JN_Z09_1SAG,Juno,SagittariusD1,55,28,83,0.66,0.34
JN_Z09_2SAG,Juno,SagittariusD2,75,62,137,0.55,0.45
JN_Z09_3SAG,Juno,SagittariusD3,65,46,111,0.59,0.41
