PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,11,14,25,0.44,0.56
CE_Z01_2ARI,Ceres,AriesD2,14,12,26,0.54,0.46
CE_Z01_3ARI,Ceres,AriesD3,13,12,25,0.52,0.48
CE_Z02_1TAU,Ceres,TaurusD1,12,14,26,0.46,0.54
CE_Z02_2TAU,Ceres,TaurusD2,10,17,27,0.37,0.63
CE_Z02_3TAU,Ceres,TaurusD3,39,42,81,0.48,0.52
CE_Z03_1GEM,Ceres,GeminiD1,62,70,132,0.47,0.53
CE_Z03_2GEM,Ceres,GeminiD2,42,38,80,0.52,0.48
CE_Z03_3GEM,Ceres,GeminiD3,6,20,26,0.23,0.77
CE_Z04_1CAN,Ceres,CancerD1,7,17,24,0.29,0.71
CE_Z04_2CAN,Ceres,CancerD2,10,13,23,0.43,0.57
CE_Z04_3CAN,Ceres,CancerD3,12,10,22,0.55,0.45
CE_Z05_1LEO,Ceres,LeoD1,49,54,103,0.48,0.52
CE_Z05_2LEO,Ceres,LeoD2,75,69,144,0.52,0.48
CE_Z05_3LEO,Ceres,LeoD1,20,30,50,0.4,0.6
CE_Z06_1VIR,Ceres,VirgoD1,28,20,48,0.58,0.42
CE_Z06_2VIR,Ceres,VirgoD2,15,33,48,0.31,0.69
CE_Z06_3VIR,Ceres,VirgoD3,21,33,54,0.39,0.61
CE_Z07_1LIB,Ceres,LibraD1,38,22,60,0.63,0.37
CE_Z07_2LIB,Ceres,LibraD2,12,10,22,0.55,0.45
CE_Z07_3LIB,Ceres,LibraD3,11,11,22,0.5,0.5
CE_Z08_1SCO,Ceres,ScorpioD1,7,16,23,0.3,0.7
CE_Z08_2SCO,Ceres,ScorpioD2,12,13,25,0.48,0.52
CE_Z08_3SCO,Ceres,ScorpioD3,10,17,27,0.37,0.63
CE_Z09_1SAG,Ceres,SagittariusD1,67,93,160,0.42,0.58
CE_Z09_2SAG,Ceres,SagittariusD2,54,53,107,0.5,0.5
CE_Z09_3SAG,Ceres,SagittariusD3,12,16,28,0.43,0.57
CE_Z10_1CAP,Ceres,CapricornD1,9,17,26,0.35,0.65
CE_Z10_2CAP,Ceres,CapricornD2,11,14,25,0.44,0.56
