PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,38,38,76,0.5,0.5
CE_Z02_TAU,Ceres,Taurus,27,43,70,0.39,0.61
CE_Z04_CAN,Ceres,Cancer,14,23,37,0.38,0.62
CE_Z05_LEO,Ceres,Leo,142,135,277,0.51,0.49
CE_Z06_VIR,Ceres,Virgo,31,39,70,0.44,0.56
CE_Z07_LIB,Ceres,Libra,29,37,66,0.44,0.56
CE_Z08_SCO,Ceres,Scorpio,31,44,75,0.41,0.59
CE_Z09_SAG,Ceres,Sagittarius,137,158,295,0.46,0.54
CE_Z10_CAP,Ceres,Capricorn,35,41,76,0.46,0.54
CE_Z11_AQU,Ceres,Aquarius,59,63,122,0.48,0.52
CE_Z12_PIS,Ceres,Pisces,131,130,261,0.5,0.5
CH_Z01_ARI,Chiron,Aries,494,543,1037,0.48,0.52
CH_Z12_PIS,Chiron,Pisces,180,208,388,0.46,0.54
JN_Z01_ARI,Juno,Aries,26,38,64,0.41,0.59
JN_Z02_TAU,Juno,Taurus,76,124,200,0.38,0.62
JN_Z03_GEM,Juno,Gemini,52,41,93,0.56,0.44
JN_Z04_CAN,Juno,Cancer,30,32,62,0.48,0.52
JN_Z05_LEO,Juno,Leo,24,39,63,0.38,0.62
JN_Z06_VIR,Juno,Virgo,39,34,73,0.53,0.47
JN_Z07_LIB,Juno,Libra,151,169,320,0.47,0.53
JN_Z08_SCO,Juno,Scorpio,41,45,86,0.48,0.52
JN_Z09_SAG,Juno,Sagittarius,102,109,211,0.48,0.52
JN_Z10_CAP,Juno,Capricorn,59,61,120,0.49,0.51
JN_Z11_AQU,Juno,Aquarius,38,31,69,0.55,0.45
JN_Z12_PIS,Juno,Pisces,36,28,64,0.56,0.44
JU_Z07_LIB,Jupiter,Libra,23,30,53,0.43,0.57
JU_Z08_SCO,Jupiter,Scorpio,193,201,394,0.49,0.51
JU_Z09_SAG,Jupiter,Sagittarius,175,214,389,0.45,0.55
JU_Z10_CAP,Jupiter,Capricorn,182,197,379,0.48,0.52
JU_Z11_AQU,Jupiter,Aquarius,74,71,145,0.51,0.49
JU_Z12_PIS,Jupiter,Pisces,27,38,65,0.42,0.58
MA_Z01_ARI,Mars,Aries,106,127,233,0.45,0.55
MA_Z02_TAU,Mars,Taurus,60,42,102,0.59,0.41
MA_Z03_GEM,Mars,Gemini,46,50,96,0.48,0.52
MA_Z04_CAN,Mars,Cancer,42,53,95,0.44,0.56
MA_Z05_LEO,Mars,Leo,40,62,102,0.39,0.61
MA_Z06_VIR,Mars,Virgo,47,47,94,0.5,0.5
MA_Z07_LIB,Mars,Libra,47,47,94,0.5,0.5
MA_Z08_SCO,Mars,Scorpio,48,45,93,0.52,0.48
MA_Z09_SAG,Mars,Sagittarius,48,46,94,0.51,0.49
MA_Z10_CAP,Mars,Capricorn,67,65,132,0.51,0.49
MA_Z11_AQU,Mars,Aquarius,89,108,197,0.45,0.55
MA_Z12_PIS,Mars,Pisces,34,59,93,0.37,0.63
ME_Z01_ARI,Mercury,Aries,63,54,117,0.54,0.46
ME_Z02_TAU,Mercury,Taurus,27,33,60,0.45,0.55
ME_Z03_GEM,Mercury,Gemini,47,66,113,0.42,0.58
ME_Z04_CAN,Mercury,Cancer,57,80,137,0.42,0.58
ME_Z05_LEO,Mercury,Leo,58,77,135,0.43,0.57
ME_Z06_VIR,Mercury,Virgo,36,44,80,0.45,0.55
ME_Z07_LIB,Mercury,Libra,44,45,89,0.49,0.51
ME_Z08_SCO,Mercury,Scorpio,73,95,168,0.43,0.57
ME_Z09_SAG,Mercury,Sagittarius,82,79,161,0.51,0.49
ME_Z10_CAP,Mercury,Capricorn,40,36,76,0.53,0.47
ME_Z11_AQU,Mercury,Aquarius,61,70,131,0.47,0.53
ME_Z12_PIS,Mercury,Pisces,86,72,158,0.54,0.46
MO_Z01_ARI,Moon,Aries,46,81,127,0.36,0.64
MO_Z02_TAU,Moon,Taurus,59,64,123,0.48,0.52
MO_Z03_GEM,Moon,Gemini,60,57,117,0.51,0.49
MO_Z04_CAN,Moon,Cancer,56,57,113,0.5,0.5
MO_Z05_LEO,Moon,Leo,52,60,112,0.46,0.54
MO_Z06_VIR,Moon,Virgo,52,60,112,0.46,0.54
MO_Z07_LIB,Moon,Libra,52,61,113,0.46,0.54
MO_Z08_SCO,Moon,Scorpio,53,61,114,0.46,0.54
MO_Z09_SAG,Moon,Sagittarius,51,67,118,0.43,0.57
MO_Z10_CAP,Moon,Capricorn,57,67,124,0.46,0.54
MO_Z11_AQU,Moon,Aquarius,71,55,126,0.56,0.44
MO_Z12_PIS,Moon,Pisces,65,61,126,0.52,0.48
NE_Z12_PIS,Neptune,Pisces,674,751,1425,0.47,0.53
NN_Z03_GEM,NNode,Gemini,192,213,405,0.47,0.53
NN_Z04_CAN,NNode,Cancer,266,300,566,0.47,0.53
NN_Z05_LEO,NNode,Leo,216,238,454,0.48,0.52
PA_Z01_ARI,Pallas,Aries,44,21,65,0.68,0.32
PA_Z02_TAU,Pallas,Taurus,67,92,159,0.42,0.58
PA_Z03_GEM,Pallas,Gemini,33,19,52,0.63,0.37
PA_Z04_CAN,Pallas,Cancer,19,32,51,0.37,0.63
PA_Z05_LEO,Pallas,Leo,24,31,55,0.44,0.56
PA_Z06_VIR,Pallas,Virgo,29,33,62,0.47,0.53
PA_Z07_LIB,Pallas,Libra,126,168,294,0.43,0.57
PA_Z08_SCO,Pallas,Scorpio,40,34,74,0.54,0.46
