PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,269,220,489,0.55,0.45
CE_AM02,Ceres,Butain,296,205,501,0.59,0.41
CE_AM03,Ceres,Turaija,263,204,467,0.56,0.44
CE_AM04,Ceres,Dabaran,255,225,480,0.53,0.47
CE_AM05,Ceres,Haq'a,299,241,540,0.55,0.45
CE_AM06,Ceres,Han'a,323,225,548,0.59,0.41
CE_AM07,Ceres,Dira,241,196,437,0.55,0.45
CE_AM08,Ceres,Natra,224,181,405,0.55,0.45
CE_AM09,Ceres,Tarf(a),296,178,474,0.62,0.38
CE_AM10,Ceres,Gabha,212,166,378,0.56,0.44
CE_AM11,Ceres,Zubra,307,250,557,0.55,0.45
CE_AM12,Ceres,Sarfa,214,155,369,0.58,0.42
CE_AM13,Ceres,Auwa,252,188,440,0.57,0.43
CE_AM14,Ceres,Simak,200,157,357,0.56,0.44
CE_AM15,Ceres,Gafr,251,180,431,0.58,0.42
CE_AM16,Ceres,Zubana,204,169,373,0.55,0.45
CE_AM17,Ceres,Iklik,227,155,382,0.59,0.41
CE_AM18,Ceres,Qualb,200,221,421,0.48,0.52
CE_AM19,Ceres,Saula,245,217,462,0.53,0.47
CE_AM20,Ceres,Na'a'im,325,238,563,0.58,0.42
CE_AM21,Ceres,Balda,270,188,458,0.59,0.41
CE_AM22,Ceres,Dabih,254,225,479,0.53,0.47
CE_AM23,Ceres,Bula,288,191,479,0.6,0.4
CE_AM24,Ceres,Su'ud,280,208,488,0.57,0.43
CE_AM25,Ceres,Ahbija,273,213,486,0.56,0.44
CE_AM26,Ceres,Muqaddam,308,272,580,0.53,0.47
CE_AM27,Ceres,Mu'ahhar,311,262,573,0.54,0.46
CE_AM28,Ceres,Risa,271,215,486,0.56,0.44
CH_AM01,Chiron,Saratan,673,484,1157,0.58,0.42
CH_AM02,Chiron,Butain,577,543,1120,0.52,0.48
CH_AM03,Chiron,Turaija,478,341,819,0.58,0.42
CH_AM04,Chiron,Dabaran,479,279,758,0.63,0.37
CH_AM05,Chiron,Haq'a,366,309,675,0.54,0.46
CH_AM06,Chiron,Han'a,323,209,532,0.61,0.39
CH_AM07,Chiron,Dira,237,192,429,0.55,0.45
CH_AM08,Chiron,Natra,218,152,370,0.59,0.41
CH_AM09,Chiron,Tarf(a),172,145,317,0.54,0.46
CH_AM10,Chiron,Gabha,138,142,280,0.49,0.51
CH_AM11,Chiron,Zubra,124,107,231,0.54,0.46
CH_AM12,Chiron,Sarfa,130,68,198,0.66,0.34
CH_AM13,Chiron,Auwa,111,76,187,0.59,0.41
CH_AM14,Chiron,Simak,153,89,242,0.63,0.37
CH_AM15,Chiron,Gafr,102,83,185,0.55,0.45
CH_AM16,Chiron,Zubana,78,49,127,0.61,0.39
CH_AM17,Chiron,Iklik,136,100,236,0.58,0.42
CH_AM18,Chiron,Qualb,137,110,247,0.55,0.45
CH_AM19,Chiron,Saula,147,106,253,0.58,0.42
CH_AM20,Chiron,Na'a'im,137,109,246,0.56,0.44
CH_AM21,Chiron,Balda,137,145,282,0.49,0.51
CH_AM22,Chiron,Dabih,157,160,317,0.5,0.5
CH_AM23,Chiron,Bula,235,180,415,0.57,0.43
CH_AM24,Chiron,Su'ud,260,223,483,0.54,0.46
CH_AM25,Chiron,Ahbija,290,330,620,0.47,0.53
CH_AM26,Chiron,Muqaddam,374,281,655,0.57,0.43
