PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,1175,1079,2254,0.52,0.48
CE_FIX,1250,1081,2331,0.54,0.46
CE_MUT,1322,1125,2447,0.54,0.46
CH_CAR,1040,882,1922,0.54,0.46
CH_FIX,1087,863,1950,0.56,0.44
CH_MUT,1620,1540,3160,0.51,0.49
EM_CAR,1383,1219,2602,0.53,0.47
EM_FIX,1178,1021,2199,0.54,0.46
EM_MUT,1186,1045,2231,0.53,0.47
ES_CAR,1211,1025,2236,0.54,0.46
ES_FIX,1304,1161,2465,0.53,0.47
ES_MUT,1232,1099,2331,0.53,0.47
JN_CAR,1272,1104,2376,0.54,0.46
JN_FIX,1316,1152,2468,0.53,0.47
JN_MUT,1159,1029,2188,0.53,0.47
JU_CAR,1282,1074,2356,0.54,0.46
JU_FIX,1237,1113,2350,0.53,0.47
JU_MUT,1228,1098,2326,0.53,0.47
MA_CAR,1241,1019,2260,0.55,0.45
MA_FIX,1260,1124,2384,0.53,0.47
MA_MUT,1246,1142,2388,0.52,0.48
ME_CAR,1251,1076,2327,0.54,0.46
ME_FIX,1270,1128,2398,0.53,0.47
ME_MUT,1226,1081,2307,0.53,0.47
MO_CAR,1244,1113,2357,0.53,0.47
MO_FIX,1253,1087,2340,0.54,0.46
MO_MUT,1250,1085,2335,0.54,0.46
NE_CAR,701,570,1271,0.55,0.45
NE_FIX,1816,1568,3384,0.54,0.46
NE_MUT,1230,1147,2377,0.52,0.48
NN_CAR,1289,1064,2353,0.55,0.45
NN_FIX,1234,1120,2354,0.52,0.48
NN_MUT,1224,1101,2325,0.53,0.47
PA_CAR,1280,1079,2359,0.54,0.46
PA_FIX,1260,1124,2384,0.53,0.47
PA_MUT,1207,1082,2289,0.53,0.47
PH_CAR,774,649,1423,0.54,0.46
PH_FIX,902,794,1696,0.53,0.47
PH_MUT,2071,1842,3913,0.53,0.47
PL_CAR,1670,1530,3200,0.52,0.48
PL_FIX,307,280,587,0.52,0.48
PL_MUT,1770,1475,3245,0.55,0.45
SA_CAR,1361,1165,2526,0.54,0.46
SA_FIX,1137,904,2041,0.56,0.44
SA_MUT,1249,1216,2465,0.51,0.49
SN_CAR,1289,1064,2353,0.55,0.45
SN_FIX,1234,1120,2354,0.52,0.48
SN_MUT,1224,1101,2325,0.53,0.47
SU_CAR,1233,1040,2273,0.54,0.46
SU_FIX,1263,1104,2367,0.53,0.47
SU_MUT,1251,1141,2392,0.52,0.48
UR_CAR,1374,1245,2619,0.52,0.48
UR_FIX,1322,1187,2509,0.53,0.47
UR_MUT,1051,853,1904,0.55,0.45
VE_CAR,1278,1097,2375,0.54,0.46
VE_FIX,1226,1121,2347,0.52,0.48
VE_MUT,1243,1067,2310,0.54,0.46
VS_CAR,1232,1105,2337,0.53,0.47
VS_FIX,1251,1107,2358,0.53,0.47
VS_MUT,1264,1073,2337,0.54,0.46
