PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,108,128,236,0.46,0.54
CE_AM02,Ceres,Butain,120,129,249,0.48,0.52
CE_AM03,Ceres,Turaija,118,100,218,0.54,0.46
CE_AM04,Ceres,Dabaran,113,114,227,0.5,0.5
CE_AM05,Ceres,Haq'a,122,101,223,0.55,0.45
CE_AM06,Ceres,Han'a,94,113,207,0.45,0.55
CE_AM07,Ceres,Dira,116,94,210,0.55,0.45
CE_AM08,Ceres,Natra,99,93,192,0.52,0.48
CE_AM09,Ceres,Tarf(a),99,124,223,0.44,0.56
CE_AM10,Ceres,Gabha,73,80,153,0.48,0.52
CE_AM11,Ceres,Zubra,97,103,200,0.48,0.52
CE_AM12,Ceres,Sarfa,78,81,159,0.49,0.51
CE_AM13,Ceres,Auwa,96,100,196,0.49,0.51
CE_AM14,Ceres,Simak,88,78,166,0.53,0.47
CE_AM15,Ceres,Gafr,102,92,194,0.53,0.47
CE_AM16,Ceres,Zubana,92,97,189,0.49,0.51
CE_AM17,Ceres,Iklik,99,79,178,0.56,0.44
CE_AM18,Ceres,Qualb,106,106,212,0.5,0.5
CE_AM19,Ceres,Saula,129,94,223,0.58,0.42
CE_AM20,Ceres,Na'a'im,104,88,192,0.54,0.46
CE_AM21,Ceres,Balda,104,117,221,0.47,0.53
CE_AM22,Ceres,Dabih,140,120,260,0.54,0.46
CE_AM23,Ceres,Bula,143,123,266,0.54,0.46
CE_AM24,Ceres,Su'ud,142,117,259,0.55,0.45
CE_AM25,Ceres,Ahbija,136,121,257,0.53,0.47
CE_AM26,Ceres,Muqaddam,183,164,347,0.53,0.47
CE_AM27,Ceres,Mu'ahhar,173,184,357,0.48,0.52
CE_AM28,Ceres,Risa,130,128,258,0.5,0.5
CH_AM01,Chiron,Saratan,314,299,613,0.51,0.49
CH_AM16,Chiron,Zubana,9,8,17,0.53,0.47
CH_AM17,Chiron,Iklik,129,104,233,0.55,0.45
CH_AM18,Chiron,Qualb,136,120,256,0.53,0.47
CH_AM19,Chiron,Saula,125,137,262,0.48,0.52
CH_AM20,Chiron,Na'a'im,131,123,254,0.52,0.48
CH_AM21,Chiron,Balda,155,141,296,0.52,0.48
