PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,13,14,27,0.48,0.52
CE_Z01_2ARI,Ceres,AriesD2,17,13,30,0.57,0.43
CE_Z01_3ARI,Ceres,AriesD3,76,75,151,0.5,0.5
CE_Z02_1TAU,Ceres,TaurusD1,67,53,120,0.56,0.44
CE_Z02_2TAU,Ceres,TaurusD2,11,16,27,0.41,0.59
CE_Z02_3TAU,Ceres,TaurusD3,12,13,25,0.48,0.52
CE_Z03_1GEM,Ceres,GeminiD1,15,9,24,0.62,0.38
CE_Z03_2GEM,Ceres,GeminiD2,16,8,24,0.67,0.33
CE_Z03_3GEM,Ceres,GeminiD3,13,11,24,0.54,0.46
CE_Z04_1CAN,Ceres,CancerD1,9,15,24,0.38,0.62
CE_Z04_2CAN,Ceres,CancerD2,16,9,25,0.64,0.36
CE_Z04_3CAN,Ceres,CancerD3,15,12,27,0.56,0.44
CE_Z05_1LEO,Ceres,LeoD1,49,62,111,0.44,0.56
CE_Z05_2LEO,Ceres,LeoD2,66,73,139,0.47,0.53
CE_Z05_3LEO,Ceres,LeoD1,8,19,27,0.3,0.7
CE_Z06_1VIR,Ceres,VirgoD1,13,11,24,0.54,0.46
CE_Z06_2VIR,Ceres,VirgoD2,6,17,23,0.26,0.74
CE_Z06_3VIR,Ceres,VirgoD3,11,12,23,0.48,0.52
CE_Z07_1LIB,Ceres,LibraD1,12,10,22,0.55,0.45
CE_Z07_2LIB,Ceres,LibraD2,8,14,22,0.36,0.64
CE_Z07_3LIB,Ceres,LibraD3,12,10,22,0.55,0.45
CE_Z08_1SCO,Ceres,ScorpioD1,7,16,23,0.3,0.7
CE_Z08_2SCO,Ceres,ScorpioD2,18,20,38,0.47,0.53
CE_Z08_3SCO,Ceres,ScorpioD3,25,27,52,0.48,0.52
CE_Z09_1SAG,Ceres,SagittariusD1,87,98,185,0.47,0.53
CE_Z09_2SAG,Ceres,SagittariusD2,67,64,131,0.51,0.49
CE_Z09_3SAG,Ceres,SagittariusD3,25,27,52,0.48,0.52
CE_Z10_1CAP,Ceres,CapricornD1,20,31,51,0.39,0.61
CE_Z10_2CAP,Ceres,CapricornD2,25,28,53,0.47,0.53
