PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,24,13,37,0.65,0.35
CE_VM02,Ceres,Bharani,67,62,129,0.52,0.48
CE_VM03,Ceres,Krittica,88,74,162,0.54,0.46
CE_VM04,Ceres,Rohini,17,19,36,0.47,0.53
CE_VM05,Ceres,Mrigashira,15,17,32,0.47,0.53
CE_VM06,Ceres,Ardra,20,12,32,0.62,0.38
CE_VM07,Ceres,Punavasu,16,16,32,0.5,0.5
CE_VM08,Ceres,Pushya,24,9,33,0.73,0.27
CE_VM09,Ceres,Ashlesha,20,15,35,0.57,0.43
CE_VM10,Ceres,Magha,70,81,151,0.46,0.54
CE_VM11,Ceres,PurvaPhalguni,60,57,117,0.51,0.49
CE_VM12,Ceres,UttaraPhalguni,16,17,33,0.48,0.52
CE_VM13,Ceres,Hasta,5,26,31,0.16,0.84
CE_VM14,Ceres,Chitra,16,13,29,0.55,0.45
CE_VM15,Ceres,Swati,14,16,30,0.47,0.53
CE_VM16,Ceres,Vishakha,12,18,30,0.4,0.6
CE_VM17,Ceres,Anuradha,18,19,37,0.49,0.51
CE_VM18,Ceres,Jyeshtha,23,45,68,0.34,0.66
CE_VM19,Ceres,Mula,120,125,245,0.49,0.51
CE_VM20,Ceres,PurvaAshada,48,58,106,0.45,0.55
CE_VM21,Ceres,UttaraAshada,26,42,68,0.38,0.62
CE_VM22,Ceres,Shravana,36,35,71,0.51,0.49
CE_VM23,Ceres,Danishtha,91,138,229,0.4,0.6
CE_VM24,Ceres,Shatabhisha,71,66,137,0.52,0.48
CE_VM25,Ceres,PurvaBhadrapada,80,75,155,0.52,0.48
CE_VM26,Ceres,UttaraBhadrapada,109,98,207,0.53,0.47
CE_VM27,Ceres,Revati,26,28,54,0.48,0.52
CH_,Chiron,,0,1,1,0,1
CH_VM01,Chiron,Aswini,414,460,874,0.47,0.53
CH_VM26,Chiron,UttaraBhadrapada,67,93,160,0.42,0.58
CH_VM27,Chiron,Revati,651,640,1291,0.5,0.5
JN_VM01,Juno,Aswini,11,17,28,0.39,0.61
JN_VM02,Juno,Bharani,9,19,28,0.32,0.68
JN_VM03,Juno,Krittica,15,16,31,0.48,0.52
JN_VM04,Juno,Rohini,33,56,89,0.37,0.63
JN_VM05,Juno,Mrigashira,59,71,130,0.45,0.55
JN_VM06,Juno,Ardra,19,11,30,0.63,0.37
JN_VM07,Juno,Punavasu,13,15,28,0.46,0.54
JN_VM08,Juno,Pushya,16,11,27,0.59,0.41
JN_VM09,Juno,Ashlesha,25,21,46,0.54,0.46
JN_VM10,Juno,Magha,78,105,183,0.43,0.57
JN_VM11,Juno,PurvaPhalguni,54,76,130,0.42,0.58
JN_VM12,Juno,UttaraPhalguni,32,34,66,0.48,0.52
JN_VM13,Juno,Hasta,24,43,67,0.36,0.64
JN_VM14,Juno,Chitra,44,63,107,0.41,0.59
JN_VM15,Juno,Swati,115,108,223,0.52,0.48
JN_VM16,Juno,Vishakha,99,110,209,0.47,0.53
JN_VM17,Juno,Anuradha,122,115,237,0.51,0.49
JN_VM18,Juno,Jyeshtha,44,37,81,0.54,0.46
JN_VM19,Juno,Mula,38,46,84,0.45,0.55
JN_VM20,Juno,PurvaAshada,29,13,42,0.69,0.31
JN_VM21,Juno,UttaraAshada,90,59,149,0.6,0.4
JN_VM22,Juno,Shravana,88,73,161,0.55,0.45
JN_VM23,Juno,Danishtha,20,14,34,0.59,0.41
JN_VM24,Juno,Shatabhisha,11,19,30,0.37,0.63
JN_VM25,Juno,PurvaBhadrapada,16,13,29,0.55,0.45
JN_VM26,Juno,UttaraBhadrapada,10,19,29,0.34,0.66
JN_VM27,Juno,Revati,18,10,28,0.64,0.36
JU_VM10,Jupiter,Magha,15,29,44,0.34,0.66
JU_VM11,Jupiter,PurvaPhalguni,122,144,266,0.46,0.54
JU_VM12,Jupiter,UttaraPhalguni,20,42,62,0.32,0.68
JU_VM13,Jupiter,Hasta,167,149,316,0.53,0.47
JU_VM14,Jupiter,Chitra,28,36,64,0.44,0.56
JU_VM15,Jupiter,Swati,115,107,222,0.52,0.48
JU_VM16,Jupiter,Vishakha,96,62,158,0.61,0.39
JU_VM17,Jupiter,Anuradha,75,89,164,0.46,0.54
JU_VM18,Jupiter,Jyeshtha,104,111,215,0.48,0.52
JU_VM19,Jupiter,Mula,22,39,61,0.36,0.64
JU_VM20,Jupiter,PurvaAshada,152,161,313,0.49,0.51
JU_VM21,Jupiter,UttaraAshada,25,34,59,0.42,0.58
JU_VM22,Jupiter,Shravana,94,103,197,0.48,0.52
JU_VM23,Jupiter,Danishtha,88,79,167,0.53,0.47
JU_VM24,Jupiter,Shatabhisha,9,9,18,0.5,0.5
MA_VM01,Mars,Aswini,40,38,78,0.51,0.49
MA_VM02,Mars,Bharani,106,80,186,0.57,0.43
MA_VM03,Mars,Krittica,55,58,113,0.49,0.51
MA_VM04,Mars,Rohini,22,43,65,0.34,0.66
MA_VM05,Mars,Mrigashira,36,23,59,0.61,0.39
MA_VM06,Mars,Ardra,25,33,58,0.43,0.57
MA_VM07,Mars,Punavasu,35,26,61,0.57,0.43
MA_VM08,Mars,Pushya,34,27,61,0.56,0.44
MA_VM09,Mars,Ashlesha,32,29,61,0.52,0.48
MA_VM10,Mars,Magha,32,31,63,0.51,0.49
MA_VM11,Mars,PurvaPhalguni,27,36,63,0.43,0.57
MA_VM12,Mars,UttaraPhalguni,25,39,64,0.39,0.61
MA_VM13,Mars,Hasta,29,34,63,0.46,0.54
MA_VM14,Mars,Chitra,24,41,65,0.37,0.63
MA_VM15,Mars,Swati,42,22,64,0.66,0.34
MA_VM16,Mars,Vishakha,33,32,65,0.51,0.49
MA_VM17,Mars,Anuradha,35,32,67,0.52,0.48
MA_VM18,Mars,Jyeshtha,67,73,140,0.48,0.52
MA_VM19,Mars,Mula,89,77,166,0.54,0.46
MA_VM20,Mars,PurvaAshada,36,46,82,0.44,0.56
MA_VM21,Mars,UttaraAshada,28,53,81,0.35,0.65
MA_VM22,Mars,Shravana,43,40,83,0.52,0.48
MA_VM23,Mars,Danishtha,70,98,168,0.42,0.58
MA_VM24,Mars,Shatabhisha,52,69,121,0.43,0.57
MA_VM25,Mars,PurvaBhadrapada,35,42,77,0.45,0.55
MA_VM26,Mars,UttaraBhadrapada,42,33,75,0.56,0.44
