PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM04,Ceres,Rohini,3,4,7,0.43,0.57
CE_VM05,Ceres,Mrigashira,12,20,32,0.38,0.62
CE_VM06,Ceres,Ardra,18,14,32,0.56,0.44
CE_VM07,Ceres,Punavasu,16,18,34,0.47,0.53
CE_VM08,Ceres,Pushya,64,63,127,0.5,0.5
CE_VM09,Ceres,Ashlesha,72,70,142,0.51,0.49
CE_VM10,Ceres,Magha,18,16,34,0.53,0.47
CE_VM11,Ceres,PurvaPhalguni,14,17,31,0.45,0.55
CE_VM12,Ceres,UttaraPhalguni,15,15,30,0.5,0.5
CE_VM13,Ceres,Hasta,15,14,29,0.52,0.48
CE_VM14,Ceres,Chitra,15,15,30,0.5,0.5
CE_VM15,Ceres,Swati,12,19,31,0.39,0.61
CE_VM16,Ceres,Vishakha,20,14,34,0.59,0.41
CE_VM17,Ceres,Anuradha,81,95,176,0.46,0.54
CE_VM18,Ceres,Jyeshtha,56,54,110,0.51,0.49
CE_VM19,Ceres,Mula,14,22,36,0.39,0.61
CE_VM20,Ceres,PurvaAshada,18,15,33,0.55,0.45
CE_VM21,Ceres,UttaraAshada,17,17,34,0.5,0.5
CE_VM22,Ceres,Shravana,15,20,35,0.43,0.57
CE_VM23,Ceres,Danishtha,52,38,90,0.58,0.42
CE_VM24,Ceres,Shatabhisha,101,102,203,0.5,0.5
CE_VM25,Ceres,PurvaBhadrapada,25,12,37,0.68,0.32
CH_VM25,Chiron,PurvaBhadrapada,93,89,182,0.51,0.49
CH_VM26,Chiron,UttaraBhadrapada,580,585,1165,0.5,0.5
JN_VM01,Juno,Aswini,15,15,30,0.5,0.5
JN_VM02,Juno,Bharani,26,25,51,0.51,0.49
JN_VM03,Juno,Krittica,81,86,167,0.49,0.51
JN_VM04,Juno,Rohini,21,10,31,0.68,0.32
JN_VM05,Juno,Mrigashira,16,13,29,0.55,0.45
JN_VM06,Juno,Ardra,12,15,27,0.44,0.56
JN_VM07,Juno,Punavasu,12,15,27,0.44,0.56
JN_VM08,Juno,Pushya,10,18,28,0.36,0.64
JN_VM09,Juno,Ashlesha,11,17,28,0.39,0.61
JN_VM10,Juno,Magha,14,16,30,0.47,0.53
JN_VM11,Juno,PurvaPhalguni,15,17,32,0.47,0.53
JN_VM12,Juno,UttaraPhalguni,16,19,35,0.46,0.54
JN_VM13,Juno,Hasta,98,91,189,0.52,0.48
JN_VM14,Juno,Chitra,59,63,122,0.48,0.52
JN_VM15,Juno,Swati,19,18,37,0.51,0.49
JN_VM16,Juno,Vishakha,20,19,39,0.51,0.49
JN_VM17,Juno,Anuradha,23,20,43,0.53,0.47
JN_VM18,Juno,Jyeshtha,16,6,22,0.73,0.27
JN_VM19,Juno,Mula,45,36,81,0.56,0.44
JN_VM20,Juno,PurvaAshada,31,59,90,0.34,0.66
JN_VM21,Juno,UttaraAshada,23,12,35,0.66,0.34
JN_VM22,Juno,Shravana,19,12,31,0.61,0.39
JN_VM23,Juno,Danishtha,14,16,30,0.47,0.53
JN_VM24,Juno,Shatabhisha,10,18,28,0.36,0.64
JN_VM25,Juno,PurvaBhadrapada,20,8,28,0.71,0.29
JN_VM26,Juno,UttaraBhadrapada,15,13,28,0.54,0.46
JN_VM27,Juno,Revati,12,17,29,0.41,0.59
JU_VM13,Jupiter,Hasta,26,35,61,0.43,0.57
JU_VM14,Jupiter,Chitra,36,35,71,0.51,0.49
JU_VM15,Jupiter,Swati,50,55,105,0.48,0.52
JU_VM16,Jupiter,Vishakha,142,132,274,0.52,0.48
JU_VM17,Jupiter,Anuradha,27,33,60,0.45,0.55
JU_VM18,Jupiter,Jyeshtha,136,147,283,0.48,0.52
JU_VM19,Jupiter,Mula,43,47,90,0.48,0.52
JU_VM20,Jupiter,PurvaAshada,79,76,155,0.51,0.49
JU_VM21,Jupiter,UttaraAshada,108,102,210,0.51,0.49
JU_VM22,Jupiter,Shravana,26,12,38,0.68,0.32
MA_VM01,Mars,Aswini,52,46,98,0.53,0.47
MA_VM02,Mars,Bharani,29,14,43,0.67,0.33
MA_VM03,Mars,Krittica,13,7,20,0.65,0.35
MA_VM04,Mars,Rohini,10,10,20,0.5,0.5
MA_VM05,Mars,Mrigashira,11,12,23,0.48,0.52
MA_VM06,Mars,Ardra,17,23,40,0.42,0.58
MA_VM07,Mars,Punavasu,14,28,42,0.33,0.67
MA_VM08,Mars,Pushya,21,21,42,0.5,0.5
MA_VM09,Mars,Ashlesha,17,24,41,0.41,0.59
MA_VM10,Mars,Magha,22,20,42,0.52,0.48
MA_VM11,Mars,PurvaPhalguni,22,20,42,0.52,0.48
MA_VM12,Mars,UttaraPhalguni,15,28,43,0.35,0.65
MA_VM13,Mars,Hasta,19,22,41,0.46,0.54
MA_VM14,Mars,Chitra,21,21,42,0.5,0.5
MA_VM15,Mars,Swati,20,21,41,0.49,0.51
MA_VM16,Mars,Vishakha,25,17,42,0.6,0.4
MA_VM17,Mars,Anuradha,22,19,41,0.54,0.46
MA_VM18,Mars,Jyeshtha,19,23,42,0.45,0.55
MA_VM19,Mars,Mula,19,24,43,0.44,0.56
MA_VM20,Mars,PurvaAshada,27,18,45,0.6,0.4
MA_VM21,Mars,UttaraAshada,53,58,111,0.48,0.52
MA_VM22,Mars,Shravana,61,48,109,0.56,0.44
MA_VM23,Mars,Danishtha,20,22,42,0.48,0.52
MA_VM24,Mars,Shatabhisha,17,23,40,0.42,0.58
MA_VM25,Mars,PurvaBhadrapada,22,20,42,0.52,0.48
MA_VM26,Mars,UttaraBhadrapada,21,21,42,0.5,0.5
MA_VM27,Mars,Revati,64,64,128,0.5,0.5
ME_VM01,Mercury,Aswini,12,11,23,0.52,0.48
ME_VM02,Mercury,Bharani,9,11,20,0.45,0.55
ME_VM03,Mercury,Krittica,11,13,24,0.46,0.54
ME_VM04,Mercury,Rohini,13,12,25,0.52,0.48
ME_VM05,Mercury,Mrigashira,11,18,29,0.38,0.62
ME_VM06,Mercury,Ardra,34,35,69,0.49,0.51
ME_VM07,Mercury,Punavasu,25,34,59,0.42,0.58
ME_VM08,Mercury,Pushya,29,36,65,0.45,0.55
ME_VM09,Mercury,Ashlesha,40,40,80,0.5,0.5
ME_VM10,Mercury,Magha,31,27,58,0.53,0.47
ME_VM11,Mercury,PurvaPhalguni,22,28,50,0.44,0.56
ME_VM12,Mercury,UttaraPhalguni,15,15,30,0.5,0.5
ME_VM13,Mercury,Hasta,13,19,32,0.41,0.59
ME_VM14,Mercury,Chitra,24,26,50,0.48,0.52
ME_VM15,Mercury,Swati,35,41,76,0.46,0.54
ME_VM16,Mercury,Vishakha,33,36,69,0.48,0.52
ME_VM17,Mercury,Anuradha,32,39,71,0.45,0.55
ME_VM18,Mercury,Jyeshtha,40,38,78,0.51,0.49
ME_VM19,Mercury,Mula,28,22,50,0.56,0.44
ME_VM20,Mercury,PurvaAshada,20,15,35,0.57,0.43
ME_VM21,Mercury,UttaraAshada,18,15,33,0.55,0.45
ME_VM22,Mercury,Shravana,17,18,35,0.49,0.51
ME_VM23,Mercury,Danishtha,34,24,58,0.59,0.41
ME_VM24,Mercury,Shatabhisha,29,28,57,0.51,0.49
ME_VM25,Mercury,PurvaBhadrapada,38,23,61,0.62,0.38
ME_VM26,Mercury,UttaraBhadrapada,36,26,62,0.58,0.42
ME_VM27,Mercury,Revati,24,24,48,0.5,0.5
MO_VM01,Moon,Aswini,28,22,50,0.56,0.44
MO_VM02,Moon,Bharani,18,34,52,0.35,0.65
MO_VM03,Moon,Krittica,25,23,48,0.52,0.48
MO_VM04,Moon,Rohini,25,23,48,0.52,0.48
MO_VM05,Moon,Mrigashira,26,20,46,0.57,0.43
MO_VM06,Moon,Ardra,26,23,49,0.53,0.47
MO_VM07,Moon,Punavasu,26,20,46,0.57,0.43
MO_VM08,Moon,Pushya,24,23,47,0.51,0.49
MO_VM09,Moon,Ashlesha,18,25,43,0.42,0.58
MO_VM10,Moon,Magha,16,30,46,0.35,0.65
MO_VM11,Moon,PurvaPhalguni,26,18,44,0.59,0.41
MO_VM12,Moon,UttaraPhalguni,26,22,48,0.54,0.46
